Time,Action,Price,Amount,BTC_bought, PnL

2026-04-28 00:30:00+00:00,DCA BUY,77381.8,500,0.006461
2026-04-29 03:00:00+00:00,SWING_BUY,76867.99,8098.15,0.10535,BTC Bought
2026-04-29 12:00:00+00:00,TRAILING STOP,77137.75,4063.28,0.05268,14.21
2026-05-01 01:30:00+00:00,SWING_BUY,76650.75,8359.23,0.10906,BTC Bought
2026-05-01 12:00:00+00:00,TAKE PROFIT,77755.12,4239.83,0.05453,60.22
2026-05-03 19:30:00+00:00,SWING_BUY,78753.17,9657.61,0.12263,BTC Bought
2026-05-03 23:00:00+00:00,STOP LOSS,78638.62,4821.78,0.06132,-7.02
2026-05-05 05:30:00+00:00,SWING_BUY,80965.55,6102.12,0.07537,BTC Bought
2026-05-05 22:30:00+00:00,TRAILING STOP,81116.94,6113.53,0.07537,11.41
2026-05-09 04:00:00+00:00,SWING_BUY,80468.86,9687.6,0.12039,BTC Bought
2026-05-09 23:00:00+00:00,TRAILING STOP,80651.67,9709.6,0.12039,22.01
2026-05-10 18:00:00+00:00,SWING_BUY,81351.25,9709.6,0.11935,BTC Bought
2026-05-10 20:30:00+00:00,STOP LOSS,80724.0,9634.74,0.11935,-74.86
2026-05-13 01:00:00+00:00,SWING_BUY,81048.99,8142.07,0.10046,BTC Bought
2026-05-13 10:30:00+00:00,STOP LOSS,80773.51,8114.4,0.10046,-27.67
2026-05-14 14:00:00+00:00,SWING_BUY,80109.4,6664.21,0.08319,BTC Bought
2026-05-14 16:30:00+00:00,TAKE PROFIT,81890.34,3406.18,0.04159,74.08
2026-05-15 00:30:00+00:00,SWING_BUY,81506.09,5854.96,0.07183,BTC Bought
2026-05-15 04:30:00+00:00,STOP LOSS,80710.33,5797.79,0.07183,-57.16
2026-05-20 05:00:00+00:00,SWING_BUY,77091.84,7918.29,0.10271,BTC Bought
2026-05-20 13:30:00+00:00,TRAILING STOP,77131.26,7922.34,0.10271,4.05
2026-05-21 01:00:00+00:00,SWING_BUY,77807.69,7678.82,0.09869,BTC Bought
2026-05-21 10:00:00+00:00,STOP LOSS,77297.25,7628.44,0.09869,-50.37
2026-05-23 07:30:00+00:00,DCA BUY,74516.73,500,0.00671
2026-05-23 18:00:00+00:00,SWING_BUY,75747.72,8094.69,0.10686,BTC Bought
2026-05-23 20:30:00+00:00,TAKE PROFIT,77188.0,4124.3,0.05343,76.96
2026-05-24 09:00:00+00:00,SWING_BUY,76861.15,9224.66,0.12002,BTC Bought
2026-05-24 13:30:00+00:00,STOP LOSS,76721.22,9207.86,0.12002,-16.79
2026-05-25 09:30:00+00:00,SWING_BUY,77517.0,8088.02,0.10434,BTC Bought
2026-05-25 22:30:00+00:00,STOP LOSS,77043.97,8038.66,0.10434,-49.36
2026-05-29 16:30:00+00:00,SWING_BUY,73927.65,4722.56,0.06388,BTC Bought
2026-05-31 07:00:00+00:00,STOP LOSS,73777.55,4712.98,0.06388,-9.59
2026-06-01 12:00:00+00:00,DCA BUY,72136.04,500,0.006931
2026-06-02 07:00:00+00:00,DCA BUY,69812.82,500,0.007162
2026-06-02 15:00:00+00:00,DCA BUY,67336.18,500,0.007425
2026-06-03 20:30:00+00:00,DCA BUY,64909.01,500,0.007703
2026-06-04 01:00:00+00:00,DCA BUY,62624.76,500,0.007984
2026-06-05 13:30:00+00:00,DCA BUY,60693.47,500,0.008238
2026-06-07 01:00:00+00:00,SWING_BUY,61604.66,3057.0,0.04962,BTC Bought
2026-06-07 12:00:00+00:00,TRAILING STOP,61913.31,1536.16,0.02481,7.66
2026-06-08 11:00:00+00:00,SWING_BUY,63560.44,2709.96,0.04264,BTC Bought
2026-06-09 00:00:00+00:00,STOP LOSS,62696.87,2673.14,0.04264,-36.82
2026-06-11 01:30:00+00:00,SWING_BUY,62143.92,3031.46,0.04878,BTC Bought
2026-06-11 16:00:00+00:00,TRAILING STOP,62558.0,3051.66,0.04878,20.2
2026-06-12 00:00:00+00:00,SWING_BUY,63543.81,3801.02,0.05982,BTC Bought
2026-06-12 06:30:00+00:00,STOP LOSS,62898.71,3762.43,0.05982,-38.59
2026-06-13 15:00:00+00:00,SWING_BUY,64251.5,6610.33,0.10288,BTC Bought
2026-06-13 16:00:00+00:00,STOP LOSS,63942.15,6578.5,0.10288,-31.83
2026-06-13 22:30:00+00:00,SWING_BUY,64426.58,6370.21,0.09888,BTC Bought
2026-06-14 05:00:00+00:00,STOP LOSS,64276.87,6355.41,0.09888,-14.8
2026-06-15 00:30:00+00:00,SWING_BUY,65588.18,3663.65,0.05586,BTC Bought
2026-06-15 15:30:00+00:00,TAKE PROFIT,67231.58,1877.72,0.02793,45.9
2026-06-19 14:30:00+00:00,SWING_BUY,63145.39,3862.56,0.06117,BTC Bought
2026-06-20 08:30:00+00:00,TRAILING STOP,63358.49,3875.6,0.06117,13.04
2026-06-20 14:30:00+00:00,SWING_BUY,63881.96,4856.86,0.07603,BTC Bought
2026-06-21 07:00:00+00:00,TRAILING STOP,64091.98,4872.82,0.07603,15.97
2026-06-22 12:00:00+00:00,SWING_BUY,64875.34,4034.1,0.06218,BTC Bought
2026-06-22 14:00:00+00:00,TRAILING STOP,64888.32,4034.91,0.06218,0.81
2026-06-25 07:00:00+00:00,SWING_BUY,61709.98,3486.38,0.0565,BTC Bought
2026-06-25 12:00:00+00:00,STOP LOSS,60987.77,3445.58,0.0565,-40.8
2026-06-25 13:30:00+00:00,DCA BUY,58051.36,500,0.008613
2026-04-28 00:30:00+00:00,DCA BUY,77381.8,500,0.006461
2026-04-29 03:00:00+00:00,SWING_BUY,76867.99,8098.15,0.10535,BTC Bought
2026-04-29 12:00:00+00:00,TRAILING STOP,77137.75,4063.28,0.05268,14.21
2026-05-01 01:30:00+00:00,SWING_BUY,76650.75,8359.23,0.10906,BTC Bought
2026-05-01 12:00:00+00:00,TAKE PROFIT,77755.12,4239.83,0.05453,60.22
2026-05-03 22:00:00+00:00,SWING_BUY,79071.89,9261.75,0.11713,BTC Bought
2026-05-03 23:00:00+00:00,STOP LOSS,78638.62,9211.0,0.11713,-50.75
2026-05-05 05:30:00+00:00,SWING_BUY,80965.55,6058.39,0.07483,BTC Bought
2026-05-05 22:30:00+00:00,TRAILING STOP,81116.94,6069.72,0.07483,11.33
2026-05-10 22:30:00+00:00,SWING_BUY,82034.53,5906.35,0.072,BTC Bought
2026-05-11 02:00:00+00:00,STOP LOSS,81218.84,5847.62,0.072,-58.73
2026-05-13 01:00:00+00:00,SWING_BUY,81048.99,8078.45,0.09967,BTC Bought
2026-05-13 10:30:00+00:00,STOP LOSS,80773.51,8050.99,0.09967,-27.46
2026-05-14 14:00:00+00:00,SWING_BUY,80109.4,6612.13,0.08254,BTC Bought
2026-05-14 16:30:00+00:00,TAKE PROFIT,81890.34,3379.56,0.04127,73.5
2026-05-15 00:30:00+00:00,SWING_BUY,81506.09,5809.21,0.07127,BTC Bought
2026-05-15 04:30:00+00:00,STOP LOSS,80710.33,5752.49,0.07127,-56.72
2026-05-20 05:00:00+00:00,SWING_BUY,77091.84,7856.42,0.10191,BTC Bought
2026-05-20 13:30:00+00:00,TRAILING STOP,77131.26,7860.43,0.10191,4.02
2026-05-21 01:00:00+00:00,SWING_BUY,77807.69,7618.82,0.09792,BTC Bought
2026-05-21 10:00:00+00:00,STOP LOSS,77297.25,7568.84,0.09792,-49.98
2026-05-23 07:30:00+00:00,DCA BUY,74516.73,500,0.00671
2026-05-23 18:00:00+00:00,SWING_BUY,75747.72,8027.65,0.10598,BTC Bought
2026-05-23 20:30:00+00:00,TAKE PROFIT,77188.0,4090.14,0.05299,76.32
2026-05-24 10:00:00+00:00,SWING_BUY,77131.98,8324.14,0.10792,BTC Bought
2026-05-24 14:00:00+00:00,STOP LOSS,76317.99,8236.29,0.10792,-87.85
2026-05-25 09:30:00+00:00,SWING_BUY,77517.0,7958.5,0.10267,BTC Bought
2026-05-25 22:30:00+00:00,STOP LOSS,77043.97,7909.94,0.10267,-48.57
2026-05-29 16:30:00+00:00,SWING_BUY,73927.65,4646.94,0.06286,BTC Bought
2026-05-31 07:00:00+00:00,STOP LOSS,73777.55,4637.5,0.06286,-9.44
2026-06-01 12:00:00+00:00,DCA BUY,72136.04,500,0.006931
2026-06-02 07:00:00+00:00,DCA BUY,69812.82,500,0.007162
2026-06-02 15:00:00+00:00,DCA BUY,67336.18,500,0.007425
2026-06-03 20:30:00+00:00,DCA BUY,64909.01,500,0.007703
2026-06-04 01:00:00+00:00,DCA BUY,62624.76,500,0.007984
2026-06-05 13:30:00+00:00,DCA BUY,60693.47,500,0.008238
2026-06-07 01:00:00+00:00,SWING_BUY,61604.66,2989.42,0.04853,BTC Bought
